ID,location_name,lat,long
2356617,Pèndogo,12.88333,-2.48333
2356618,Pendjo,11.46667,1.88333
2356620,Pendia Plandi,11.31667,-4.81667
2356621,Pèndianga,12.35,0.33333
2356622,Pendaga,12.17738,-1.07341
2356623,Pènchyangou,12.03333,0.73333
2356624,Pènbiti,12.11061,1.57193
2356625,Péna,13.74325,-0.72471
2356626,Pèmpédi,12.1023,0.8228
2356627,Pèm,14.31058,-0.85864
2356628,Pèlsia,12.53333,-2.48333
2356629,Pèlsé,13.56142,-0.43833
2356630,Pèlsé,13.60909,-0.47513
2356631,Pélogo,12.54328,-1.43019
2356632,Pellkissiga,13.37161,-2.20361
2356633,Pellé,13.44707,-2.16099
2356634,Pèlla,12.73333,-2.3
2356635,Pèlla,12.58333,-2.03333
2356636,Pélikô,10.13333,-5.03333
2356637,Pélignan,10.93333,-5.38333
2356638,Paléouté,13.94733,-0.75646
2356639,Pèlga,13.33693,-0.60796
2356640,Pèlga,13.20254,0.27909
2356641,Pélératanga,12.9,-2.18333
2356642,Pélém Pélém,14.36728,-1.73821
2356643,Pélé Bili,14.35446,-1.01775
2356644,Pélaga,12.31667,-0.41667
2356645,Pèla,13.34951,-2.29249
2356646,Pèkwènti,12.23333,0.4
2356647,Pékwèndi,12.45,0.75
2356648,Pékuy,12.5,-3.81667
2356649,Pékoua,11.0,-2.93333
2356650,Péhiri,11.83333,-1.83333
2356652,Pélatibitiguia,13.61748,-2.62966
2356653,Pébiou,11.86667,-2.05
2356654,Péalaga,12.35,-0.41667
2356655,Pê,11.3,-3.53333
2356656,Payob Tenga,12.21667,-0.68333
2356657,Payalo,11.28333,-2.78333
2356658,Pawantoré,11.86667,-1.26667
2356659,Patouro,10.65,-3.15
2356660,Patoura,9.95,-3.55
2356661,Patiri,12.96667,-2.08333
2356662,Patingou,12.72641,1.15975
2356663,Patiarakui,12.76667,-3.91667
2356665,Patel,13.91371,-0.24403
2356666,Patambima,12.11667,0.48333
2356667,Province du Passoré,12.91667,-2.16667
2356668,Passen,11.67086,-2.26445
2356669,Passakongo Tonbo,12.51667,-3.41667
2356670,Passakongo,12.51667,-3.43333
2356671,Passabou,12.55,0.9
2356672,Paspanga,13.54178,-1.53003
2356673,Paspanga,13.27186,-0.46235
2356674,Paspanga,13.16793,-1.10754
2356675,Paspanga,12.38333,-0.71667
2356676,Paspanga,12.11667,-0.45
2356677,Bassotenga,12.18751,-1.84282
2356678,Pasiblinga,11.71667,-1.15
2356679,Paséna,10.0,-3.33333
2356680,Pasbaolé,13.0623,-1.30029
2356681,Partiaga,12.61083,2.01186
2356682,Partiaga,11.93333,1.61667
2356683,Paroubri,11.56667,-1.11667
2356684,Parmam,13.40092,0.20982
2356685,Parawinga,12.51667,-0.43333
2356686,Pagatenga,12.60805,-1.55419
2356687,Parankui,13.1723,-4.206
2356688,Paradé,12.35,-3.33333
2356689,Papoyna,12.75,0.21667
2356690,Papala,12.05819,1.9295
2356691,Paoundé,14.21996,-1.7996
2356692,Paoun,10.31667,-3.23333
2356693,Paoun,10.23333,-2.98333
2356694,Paon,9.88333,-3.13333
2356695,Pantour,9.98333,-2.96667
2356696,Pantionao,10.43333,-3.55
2356697,Pantianao,10.2,-3.4
2356698,Pantianao,10.06667,-3.21667
2356699,Pansi,13.23107,0.88128
2356700,Pansa,12.91667,-0.88333
2356701,Panparsi,12.43333,-0.08333
2356702,Panpangou,12.1,0.2
2356703,Panpanga,12.28333,0.53333
2356704,Pampakui,13.1375,-3.854
2356705,Panpabanga,12.59294,1.41596
2356706,Pano Ouléma,11.40605,-4.28285
2356707,Pano,11.68333,-2.51667
2356708,Panndyoa,12.38333,0.96667
2356709,Panmpané,12.3202,1.98969
2356710,Pankuéré,10.83333,-3.01667
2356711,Pankélé,12.62642,-2.88037
2356712,Pankankanti,11.0,0.65
2356713,Paniguibtenga,12.55,-0.6
2356714,Panien,13.10602,-2.73054
2356715,Pani,11.58333,-2.33333
2356716,Panhéla,10.01667,-3.18333
2356717,Pangtiga Yiri,12.19886,-1.80347
2356718,Pangotenga,12.88333,-2.71667
2356719,Pangogo,12.75,-2.71667
2356720,Pangara,10.18333,-3.3
2356721,Panga,10.36667,-4.96667
2356722,Pandyamboura,12.31667,0.38333
2356723,Pendissi,12.50678,-1.42114
2356724,Panassin,11.45,-2.1
2356725,Panapra,10.68333,-4.5
2356726,Pananbéra,10.56667,-3.13333
2356727,Panamasso,11.386,-4.20379
2356728,Pana,11.88333,-3.18333
2356729,Pana,11.38333,-3.18333
2356730,Pan,11.26844,-4.68737
2356731,Pemtoussi,12.07727,-1.73584
2356732,Pamtanga,12.66868,-1.50727
2356733,Pamoussa,12.56667,-0.73333
2356734,Pamnonghin,12.17111,-1.56417
2356735,Pamdyega,12.75,0.36667
2356736,Pamboudyé,13.41791,0.83869
2356737,Pamassébouré,12.61288,-1.46828
2356738,Pama,11.24972,0.7075
2356739,Palsyanré,13.28009,-0.87375
2356740,Poloua,14.00766,-1.59783
2356741,Palol Sofékèl,14.10858,0.3662
2356742,Palogo,12.21667,-2.38333
2356743,Paliho,10.15,-2.8
2356744,Polesgo,12.44031,-1.49496
2356745,Palen,12.95,-0.91667
2356746,Pala,11.9,-2.33333
2356747,Pala,11.14911,-4.23463
2356748,Pakoudougou,12.66667,-2.46667
2356749,Pakoro,12.05,-3.26667
2356750,Pakole,11.98333,-3.23333
2356751,Pakodé,13.62916,-0.87785
2356752,Pailogo,11.05,-0.56667
2356753,Pahin,11.71667,-3.23333
2356754,Pagyir,12.55,-2.68333
2356755,Pagou,12.89737,0.69419
2356756,Pagalaga,13.60247,0.11589
2356757,Padyanga,12.4357,2.11267
2356758,Pademtenga,12.71885,-1.24318
2356759,Pabré,12.52147,-1.58631
2356760,Pabré,12.21667,-0.36667
2356761,Pabouga,12.05651,1.4817
2356762,Pabanbou,12.10505,1.54849
2356763,Paaba,10.86667,-5.06667
2356764,Forêt Classée de Pâ,11.6,-3.26667
2356765,Pa,12.66667,-3.95
2356766,Pâ,11.54542,-3.25719
2356767,Owandé,14.38155,-0.62311
2356768,Ouzou,11.74544,-4.68621
2356769,Ouzéni,14.28597,-1.23548
2356770,Ouyayé,14.04433,-1.27084
2356771,Ouyalgui,12.21667,-0.75
2356772,Outourou,10.61667,-5.41667
2356774,Outoulou,11.01667,-2.26667
